Path,File,Date Acquired,Sample,Misc,,,,,,
C:\msdchem\1\data\Manual\MA_population_6_2016\,MA_Population_58-1.D,6/29/16 7:02, , ,,,,,,
Ion 119.0057-1.D\data.ms,,,,,,,,,,
4.588,0,,,,,,,,,
4.592,0,,,,,,,,,
4.597,0,,,,,,,,,
4.601,0,,,,,,,,,
4.605,0,,,,,,,,,
4.61,0,,,,,,,,,
4.614,0,,,,,,,,,
4.619,0,,,,,,,,,
4.623,0,,,,,,,,,
4.627,0,,,,,,,,,
4.632,0,,,,,,,,,
4.636,0,,,,,,,,,
4.64,0,,,,,,,,,
4.645,0,,,,,,,,,
4.649,0,,,,,,,,,
4.654,0,,,,,,,,,
4.658,0,,,,,,,,,
4.662,0,,,,,,,,,
4.667,0,,,,,,,,,
4.671,0,,,,,,,,,
4.675,0,,,,,,,,,
4.68,0,,,,,,,,,
4.684,0,,,,,,,,,
4.688,0,,,,,,,,,
4.693,0,,,,,,,,,
4.697,0,,,,,,,,,
4.702,0,,,,,,,,,
4.706,0,,,,,,,,,
4.71,0,,,,,,,,,
4.715,0,,,,,,,,,
4.719,0,,,,,,,,,
4.723,0,,,,,,,,,
4.728,0,,,,,,,,,
4.732,0,,,,,,,,,
4.737,0,,,,,,,,,
4.741,0,,,,,,,,,
4.745,0,,,,,,,,,
4.75,0,,,,,,,,,
4.754,0,,,,,,,,,
4.758,0,,,,,,,,,
4.763,0,,,,,,,,,
4.767,0,,,,,,,,,
4.772,0,,,,,,,,,
4.776,0,,,,,,,,,
4.78,0,,,,,,,,,
4.785,0,,,,,,,,,
4.789,0,,,,,,,,,
4.793,0,,,,,,,,,
4.798,0,,,,,,,,,
4.802,0,,,,,,,,,
4.807,0,,,,,,,,,
4.811,0,,,,,,,,,
4.815,0,,,,,,,,,
4.82,0,,,,,,,,,
4.824,0,,,,,,,,,
4.828,0,,,,,,,,,
4.833,0,,,,,,,,,
4.837,0,,,,,,,,,
4.841,0,,,,,,,,,
4.846,0,,,,,,,,,
4.85,0,,,,,,,,,
4.855,0,,,,,,,,,
4.859,0,,,,,,,,,
4.863,0,,,,,,,,,
4.868,0,,,,,,,,,
4.872,0,,,,,,,,,
4.876,0,,,,,,,,,
4.881,0,,,,,,,,,
4.885,0,,,,,,,,,
4.89,0,,,,,,,,,
4.894,0,,,,,,,,,
4.898,0,,,,,,,,,
4.903,0,,,,,,,,,
4.907,0,,,,,,,,,
4.911,0,,,,,,,,,
4.916,0,,,,,,,,,
4.92,0,,,,,,,,,
4.925,0,,,,,,,,,
4.929,0,,,,,,,,,
4.933,0,,,,,,,,,
4.938,0,,,,,,,,,
4.942,0,,,,,,,,,
4.946,0,,,,,,,,,
4.951,0,,,,,,,,,
4.955,0,,,,,,,,,
4.96,0,,,,,,,,,
4.964,0,,,,,,,,,
4.968,0,,,,,,,,,
4.973,0,,,,,,,,,
4.977,0,,,,,,,,,
4.981,0,,,,,,,,,
4.986,0,,,,,,,,,
4.99,0,,,,,,,,,
4.994,0,,,,,,,,,
4.999,0,,,,,,,,,
5.003,0,,,,,,,,,
5.008,0,,,,,,,,,
5.012,0,,,,,,,,,
5.016,0,,,,,,,,,
5.021,0,,,,,,,,,
5.025,0,,,,,,,,,
5.029,0,,,,,,,,,
5.034,0,,,,,,,,,
5.038,0,,,,,,,,,
5.043,0,,,,,,,,,
5.047,0,,,,,,,,,
5.051,0,,,,,,,,,
5.056,0,,,,,,,,,
5.06,0,,,,,,,,,
5.064,0,,,,,,,,,
5.069,0,,,,,,,,,
5.073,0,,,,,,,,,
5.078,0,,,,,,,,,
5.082,0,,,,,,,,,
5.086,0,,,,,,,,,
5.091,0,,,,,,,,,
5.095,0,,,,,,,,,
5.099,0,,,,,,,,,
5.104,0,,,,,,,,,
5.108,0,,,,,,,,,
5.112,0,,,,,,,,,
5.117,0,,,,,,,,,
5.121,0,,,,,,,,,
5.126,0,,,,,,,,,
5.13,0,,,,,,,,,
5.134,0,,,,,,,,,
5.139,0,,,,,,,,,
5.143,0,,,,,,,,,
5.147,0,,,,,,,,,
5.152,0,,,,,,,,,
5.156,0,,,,,,,,,
5.161,0,,,,,,,,,
5.165,0,,,,,,,,,
5.169,0,,,,,,,,,
5.174,0,,,,,,,,,
5.178,0,,,,,,,,,
5.182,0,,,,,,,,,
5.187,0,,,,,,,,,
5.191,0,,,,,,,,,
5.196,0,,,,,,,,,
5.2,0,,,,,,,,,
5.204,0,,,,,,,,,
5.209,0,,,,,,,,,
5.213,0,,,,,,,,,
5.217,0,,,,,,,,,
5.222,0,,,,,,,,,
5.226,0,,,,,,,,,
5.231,0,,,,,,,,,
5.235,0,,,,,,,,,
5.239,0,,,,,,,,,
5.244,0,,,,,,,,,
5.248,0,,,,,,,,,
5.252,0,,,,,,,,,
5.257,0,,,,,,,,,
5.261,0,,,,,,,,,
5.266,0,,,,,,,,,
5.27,0,,,,,,,,,
5.274,0,,,,,,,,,
5.279,0,,,,,,,,,
5.283,0,,,,,,,,,
5.287,0,,,,,,,,,
5.292,0,,,,,,,,,
5.296,0,,,,,,,,,
5.3,0,,,,,,,,,
5.305,0,,,,,,,,,
5.309,0,,,,,,,,,
5.314,0,,,,,,,,,
5.318,0,,,,,,,,,
5.322,0,,,,,,,,,
5.327,0,,,,,,,,,
5.331,0,,,,,,,,,
5.335,0,,,,,,,,,
5.34,0,,,,,,,,,
5.344,0,,,,,,,,,
5.349,0,,,,,,,,,
5.353,0,,,,,,,,,
5.357,0,,,,,,,,,
5.362,0,,,,,,,,,
5.366,0,,,,,,,,,
5.37,0,,,,,,,,,
5.375,0,,,,,,,,,
5.379,0,,,,,,,,,
5.384,0,,,,,,,,,
5.388,0,,,,,,,,,
5.392,0,,,,,,,,,
5.397,0,,,,,,,,,
5.401,0,,,,,,,,,
5.405,0,,,,,,,,,
5.41,0,,,,,,,,,
5.414,0,,,,,,,,,
5.419,0,,,,,,,,,
5.423,0,,,,,,,,,
5.427,0,,,,,,,,,
5.432,0,,,,,,,,,
5.436,0,,,,,,,,,
5.44,0,,,,,,,,,
5.445,0,,,,,,,,,
5.449,0,,,,,,,,,
5.453,0,,,,,,,,,
5.458,0,,,,,,,,,
5.462,0,,,,,,,,,
5.467,0,,,,,,,,,
5.471,0,,,,,,,,,
5.475,0,,,,,,,,,
5.48,0,,,,,,,,,
5.484,0,,,,,,,,,
5.488,0,,,,,,,,,
5.493,0,,,,,,,,,
5.497,0,,,,,,,,,
5.502,0,,,,,,,,,
5.506,0,,,,,,,,,
5.51,0,,,,,,,,,
5.515,0,,,,,,,,,
5.519,0,,,,,,,,,
5.523,0,,,,,,,,,
5.528,0,,,,,,,,,
5.532,0,,,,,,,,,
5.537,0,,,,,,,,,
5.541,0,,,,,,,,,
5.545,0,,,,,,,,,
5.55,0,,,,,,,,,
5.554,0,,,,,,,,,
5.558,0,,,,,,,,,
5.563,0,,,,,,,,,
5.567,0,,,,,,,,,
5.572,0,,,,,,,,,
5.576,0,,,,,,,,,
5.58,0,,,,,,,,,
5.585,0,,,,,,,,,
5.589,0,,,,,,,,,
5.593,0,,,,,,,,,
5.598,0,,,,,,,,,
5.602,0,,,,,,,,,
5.606,0,,,,,,,,,
5.611,0,,,,,,,,,
5.615,0,,,,,,,,,
5.62,0,,,,,,,,,
5.624,0,,,,,,,,,
5.628,0,,,,,,,,,
5.633,0,,,,,,,,,
5.637,0,,,,,,,,,
5.641,0,,,,,,,,,
5.646,0,,,,,,,,,
5.65,0,,,,,,,,,
5.655,0,,,,,,,,,
5.659,0,,,,,,,,,
5.663,0,,,,,,,,,
5.668,0,,,,,,,,,
5.672,0,,,,,,,,,
5.676,0,,,,,,,,,
5.681,0,,,,,,,,,
5.685,0,,,,,,,,,
5.69,0,,,,,,,,,
5.694,0,,,,,,,,,
5.698,0,,,,,,,,,
5.703,0,,,,,,,,,
5.707,0,,,,,,,,,
5.711,0,,,,,,,,,
5.716,0,,,,,,,,,
5.72,0,,,,,,,,,
5.725,0,,,,,,,,,
5.729,0,,,,,,,,,
5.733,0,,,,,,,,,
5.738,0,,,,,,,,,
5.742,0,,,,,,,,,
5.746,0,,,,,,,,,
5.751,0,,,,,,,,,
5.755,0,,,,,,,,,
5.759,0,,,,,,,,,
5.764,0,,,,,,,,,
5.768,0,,,,,,,,,
5.773,0,,,,,,,,,
5.777,0,,,,,,,,,
5.781,0,,,,,,,,,
5.786,0,,,,,,,,,
5.79,0,,,,,,,,,
5.794,0,,,,,,,,,
5.799,0,,,,,,,,,
5.803,0,,,,,,,,,
5.808,0,,,,,,,,,
5.812,0,,,,,,,,,
5.816,0,,,,,,,,,
5.821,0,,,,,,,,,
5.825,0,,,,,,,,,
5.829,0,,,,,,,,,
5.834,0,,,,,,,,,
5.838,0,,,,,,,,,
5.843,0,,,,,,,,,
5.847,0,,,,,,,,,
5.851,0,,,,,,,,,
5.856,0,,,,,,,,,
5.86,0,,,,,,,,,
5.864,0,,,,,,,,,
5.869,0,,,,,,,,,
5.873,0,,,,,,,,,
5.878,0,,,,,,,,,
5.882,0,,,,,,,,,
5.886,0,,,,,,,,,
5.891,0,,,,,,,,,
5.895,0,,,,,,,,,
5.899,0,,,,,,,,,
5.904,0,,,,,,,,,
5.908,0,,,,,,,,,
